Threshold (dB SPL): 35
Frequency (kHz): 32.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.003654	0.019085	1.04	0.34	1.60	-0.04	2.00	0.50	2.44	-0.38	2.68	-0.00	3.04	-0.45	3.48	-0.02	3.76	-0.22	4.36	0.34	5.12	-0.10
95.00	0.029903	0.027978	1.04	0.27	1.56	-0.03	1.92	0.48	2.48	-0.31	2.68	-0.09	3.04	-0.36	3.44	0.06	3.80	-0.24	4.36	0.27	5.00	-0.09	0.949
90.00	-0.015329	0.031873	1.04	0.27	1.56	-0.03	2.00	0.29	2.48	-0.18	2.72	0.02	3.08	-0.32	3.44	0.04	3.80	-0.28	4.32	0.23	5.28	-0.07	0.872
85.00	0.002152	0.017001	1.04	0.25	1.56	-0.08	1.88	0.31	2.52	-0.11	2.72	-0.02	3.12	-0.27	3.44	0.04	3.84	-0.23	4.52	0.17	5.08	-0.04	0.666
80.00	0.020946	0.020129	1.04	0.14	1.36	-0.07	1.88	0.39	2.56	-0.12	2.72	-0.05	3.04	-0.24	3.52	0.11	3.88	-0.15	4.64	0.20	5.24	-0.08	0.816
75.00	-0.008182	0.009153	1.12	0.15	1.44	0.01	1.88	0.28	2.24	-0.05	2.80	0.05	3.12	-0.17	3.52	0.07	3.80	-0.16	4.44	0.12	5.16	-0.05	0.811
70.00	0.028331	0.027850	1.08	0.17	1.48	-0.07	1.92	0.27	2.32	0.03	2.80	-0.03	3.16	-0.17	3.60	0.12	3.96	-0.12	4.76	0.12	5.52	-0.01	0.665
65.00	-0.062910	0.008547	1.12	0.16	1.56	-0.04	1.88	0.18	2.24	-0.01	2.80	0.07	3.28	-0.15	3.64	0.09	4.00	-0.18	4.84	0.12	5.48	-0.03	0.660
60.00	-0.026493	0.014177	1.16	0.09	1.60	-0.08	1.96	0.16	2.24	-0.02	2.52	0.03	3.28	-0.13	3.68	0.10	4.00	-0.10	4.88	0.09	5.36	-0.02	0.718
55.00	-0.023294	0.010398	1.16	0.12	1.68	-0.04	1.96	0.18	2.40	0.01	2.72	0.04	3.28	-0.08	3.68	0.06	4.16	-0.10	4.80	0.12	5.32	0.00	0.726
50.00	-0.004832	0.010410	1.24	0.01	1.60	-0.07	1.92	0.14	2.32	-0.05	2.64	0.04	3.32	-0.12	3.80	0.07	4.20	-0.12	5.00	0.10	5.28	-0.02	0.592
45.00	-0.028977	0.019884	1.36	0.00	1.76	-0.07	2.12	0.04	2.28	-0.03	2.56	0.04	3.32	-0.12	3.88	0.11	4.48	-0.07	5.04	0.04	5.56	-0.01	0.224
40.00	-0.001685	0.005349	1.40	0.04	1.60	-0.02	2.16	0.16	2.52	-0.02	3.20	0.00	3.52	-0.05	4.40	-0.02	4.60	-0.06	5.44	0.05	5.96	-0.02	-0.156
35.00	0.018829	0.004045	1.16	0.03	1.76	-0.04	2.40	0.07	2.80	-0.03	3.24	0.05	3.84	-0.05	4.48	0.09	4.92	-0.03	5.48	0.09	6.04	-0.02	0.048
30.00	-0.029081	0.012239	-1.16	-0.02	-2.00	-0.04	-2.40	0.00	-2.40	0.00	-2.40	0.00	-2.72	-0.03	-3.84	-0.07	-3.92	-0.11	-5.48	0.01	-8.20	-0.07	0.152
25.00	0.047903	0.019490	-1.16	0.08	-1.92	0.02	-2.52	0.07	-2.52	0.07	-2.52	0.07	-2.92	-0.01	-4.16	0.02	-4.36	-0.01	-5.48	-0.00	-8.16	-0.01	0.318
20.00	0.024976	0.014391	-1.16	0.00	-1.88	-0.01	-2.40	0.06	-2.40	0.06	-2.40	0.06	-2.96	0.03	-4.40	0.03	-4.72	-0.01	-5.60	0.00	-8.04	-0.01	0.188
