Threshold (dB SPL): 50
Frequency (kHz): 4.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.008724	0.013467	1.72	0.21	2.12	-0.66	2.52	0.34	2.84	-0.31	3.60	0.22	3.92	-0.09	4.28	0.34	5.12	-0.17	5.64	0.01	7.08	-0.06
95.00	0.035632	0.015321	1.76	0.20	2.16	-0.70	2.48	0.38	2.84	-0.20	3.44	0.11	3.92	-0.07	4.40	0.25	5.00	-0.13	5.88	0.06	7.16	-0.05	0.884
90.00	0.022173	0.010207	1.84	0.13	2.16	-0.55	2.56	0.25	2.84	-0.12	3.20	0.19	4.04	-0.06	4.60	0.15	5.20	-0.09	6.00	0.01	7.24	-0.06	0.883
85.00	0.024259	0.017152	1.80	0.10	2.24	-0.44	2.60	0.24	2.88	-0.16	3.20	0.17	4.00	-0.08	4.52	0.10	4.96	-0.06	6.12	0.00	7.32	-0.07	0.889
80.00	-0.007455	0.021541	1.92	0.07	2.28	-0.39	2.64	0.17	2.92	-0.10	3.32	0.21	4.04	-0.07	4.44	0.11	5.28	-0.09	6.20	0.06	7.36	0.01	0.784
75.00	0.004018	0.006580	1.96	0.10	2.32	-0.29	2.68	0.12	3.00	-0.12	3.44	0.18	4.12	-0.08	4.64	0.08	5.36	-0.11	6.32	0.07	7.32	0.04	0.826
70.00	0.042118	0.016091	2.00	0.09	2.40	-0.25	2.76	0.09	3.08	-0.06	3.36	0.15	4.12	-0.09	4.48	0.04	5.56	-0.08	6.28	0.10	7.24	-0.03	0.832
65.00	-0.003422	0.009391	2.04	0.07	2.44	-0.26	2.84	0.12	3.12	-0.11	3.60	0.10	4.20	-0.10	5.00	0.07	5.32	-0.08	6.48	0.02	7.36	-0.05	0.701
60.00	-0.016112	0.014729	2.20	0.04	2.48	-0.18	2.84	0.07	3.12	-0.07	3.48	0.10	4.36	-0.10	5.08	0.05	5.60	-0.06	6.36	0.05	7.44	0.02	0.758
55.00	0.023670	0.009228	2.20	0.06	2.60	-0.16	3.00	0.08	3.24	-0.05	3.68	0.06	4.56	-0.06	5.04	0.06	5.92	-0.03	6.20	0.02	7.28	0.00	0.688
50.00	-0.010888	0.008968	2.40	0.06	2.80	-0.08	3.16	0.00	3.52	-0.06	3.80	0.05	4.52	-0.08	5.12	0.07	5.72	-0.08	6.44	0.07	7.60	-0.01	0.379
45.00	0.025832	0.026569	-2.48	0.02	-3.08	-0.06	-3.20	0.01	-3.72	-0.01	-3.88	0.04	-4.64	-0.06	-5.32	0.06	-5.76	-0.03	-6.52	0.03	-7.60	-0.01	0.291
40.00	0.003450	0.008134	-1.96	0.08	-2.76	-0.06	-2.92	-0.01	-3.80	-0.08	-4.36	0.06	-4.92	-0.02	-4.72	0.05	-5.52	-0.07	-6.12	0.10	-7.56	-0.03	-0.074
35.00	0.020318	0.018168	-2.16	0.03	-2.80	-0.06	-3.20	0.03	-3.56	-0.05	-3.96	0.04	-4.68	-0.04	-5.08	0.03	-6.04	-0.04	-5.88	0.02	-7.32	-0.01	0.110
30.00	0.005849	0.016335	-1.76	0.05	-3.32	-0.09	-3.20	-0.02	-3.96	-0.08	-3.76	-0.02	-4.44	-0.05	-5.12	0.03	-5.60	-0.03	-6.00	0.04	-7.16	0.01	0.202
