Threshold (dB SPL): 60
Frequency (kHz): 45.30
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.006700	0.007167	1.00	0.18	1.40	-0.07	1.72	0.23	2.04	0.01	2.24	0.12	2.52	-0.10	2.76	0.06	3.12	-0.12	3.44	-0.02	3.84	-0.09
95.00	0.029753	0.011916	1.00	0.09	1.40	-0.04	1.76	0.24	2.08	-0.03	2.36	0.06	2.60	-0.04	2.76	0.04	3.20	-0.16	3.52	-0.01	3.88	-0.09	0.678
90.00	-0.044547	0.021571	1.04	0.13	1.40	-0.02	1.72	0.21	2.08	-0.01	2.36	0.10	2.64	-0.09	2.96	0.07	3.36	-0.15	3.52	-0.12	3.88	-0.13	0.679
85.00	0.009637	0.008355	1.08	0.15	1.48	0.01	1.84	0.13	2.28	0.02	2.84	0.04	2.84	0.04	2.84	0.04	3.24	-0.12	3.68	0.00	3.96	-0.09	0.630
80.00	-0.014175	0.010857	1.08	0.12	1.48	-0.04	1.80	0.12	2.08	-0.02	2.32	0.12	2.32	0.12	2.92	-0.03	3.20	-0.16	3.60	-0.03	4.12	-0.13	0.770
75.00	0.018274	0.007199	1.20	0.06	1.52	-0.04	1.96	0.16	2.12	0.04	2.32	0.08	2.72	-0.10	2.96	0.00	3.44	-0.09	3.64	0.01	3.88	-0.11	0.574
70.00	0.056112	0.016756	1.12	0.13	1.44	0.04	1.80	0.14	2.16	-0.04	2.44	0.06	2.64	-0.03	2.92	0.03	3.28	-0.09	3.68	0.01	4.00	-0.12	0.452
65.00	0.002981	0.005928	1.16	0.10	1.64	-0.04	2.00	0.14	2.36	0.05	2.52	0.10	2.88	-0.06	3.12	-0.01	3.28	-0.08	3.72	0.06	4.00	-0.03	0.565
60.00	-0.007559	0.014981	1.20	0.02	1.44	-0.06	2.00	0.12	2.36	0.00	2.64	0.13	3.00	-0.04	3.12	-0.02	3.44	-0.16	3.88	0.01	4.44	-0.14	0.536
55.00	-0.014860	0.008754	-1.28	0.10	-1.68	0.01	-2.00	0.06	-2.36	0.02	-2.92	0.11	-2.92	0.11	-2.92	0.11	-3.48	-0.09	-4.00	0.04	-5.80	-0.05	0.255
50.00	0.029165	0.005338	-1.36	0.08	-1.84	-0.02	-2.00	0.01	-2.48	-0.02	-3.28	0.07	-3.28	0.07	-3.28	0.07	-3.52	-0.05	-4.00	-0.04	-6.04	-0.11	-0.104
45.00	0.077639	0.028024	-1.36	-0.05	-1.52	-0.06	-2.00	-0.03	-2.00	-0.03	-3.28	-0.00	-3.28	-0.00	-3.28	-0.00	-3.80	-0.10	-4.00	-0.04	-6.52	-0.02	0.076
40.00	0.091027	0.047346	-1.36	0.10	-1.80	0.12	-1.96	0.17	-2.84	-0.07	-3.20	0.08	-3.20	0.08	-3.20	0.08	-3.72	-0.00	-3.92	0.08	-6.56	-0.11	-0.179
