Threshold (dB SPL): 30
Frequency (kHz): 8.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.018888	0.005560	1.52	0.00	2.16	-0.71	1.84	-0.17	2.16	-0.71	2.48	0.18	2.80	-0.06	3.24	0.49	3.56	0.22	3.96	0.30	4.72	-0.22
95.00	-0.009615	0.012196	1.56	-0.04	2.16	-0.59	1.84	-0.30	2.16	-0.59	2.44	0.12	2.72	-0.05	3.20	0.40	3.68	0.13	4.08	0.40	4.68	-0.25	0.955
90.00	0.070676	0.015974	1.60	0.04	2.16	-0.46	1.60	0.04	2.16	-0.46	2.48	0.30	2.72	-0.26	3.20	0.47	3.72	-0.03	4.16	0.41	4.84	-0.24	0.876
85.00	0.045829	0.008082	1.72	0.09	2.04	-0.57	1.72	0.09	2.04	-0.57	2.52	0.27	2.80	-0.38	3.24	0.44	3.84	-0.06	4.28	0.36	4.80	-0.19	0.920
80.00	0.064819	0.011877	1.76	0.08	2.12	-0.68	1.76	0.08	2.12	-0.68	2.52	0.43	2.84	-0.29	3.40	0.29	3.84	-0.01	4.32	0.26	4.88	-0.20	0.887
75.00	0.061843	0.017265	1.80	0.08	2.20	-0.59	1.80	0.08	2.20	-0.59	2.56	0.39	2.88	-0.13	3.20	0.28	3.92	-0.09	4.44	0.16	5.08	-0.17	0.858
70.00	0.040801	0.011465	1.80	0.03	2.20	-0.53	1.80	0.03	2.20	-0.53	2.60	0.35	2.92	-0.16	3.28	0.21	4.04	-0.00	4.40	0.14	5.04	-0.18	0.939
65.00	0.003929	0.011082	1.88	0.09	2.28	-0.47	1.88	0.09	2.28	-0.47	2.64	0.22	2.92	-0.12	3.36	0.24	3.96	-0.03	4.48	0.14	5.12	-0.16	0.855
60.00	-0.010947	0.019542	2.68	0.17	2.32	-0.37	1.96	0.06	2.32	-0.37	2.68	0.17	2.96	-0.10	3.36	0.24	4.08	-0.07	4.52	0.17	5.16	-0.15	0.879
55.00	-0.036538	0.017092	2.00	0.09	2.36	-0.31	2.00	0.09	2.36	-0.31	2.72	0.19	2.96	-0.08	3.36	0.23	3.92	-0.04	4.64	0.13	5.24	-0.14	0.764
50.00	-0.016622	0.004575	2.04	0.08	2.40	-0.24	2.04	0.08	2.40	-0.24	2.76	0.09	3.04	-0.10	3.36	0.21	4.16	-0.06	4.56	0.11	5.28	-0.14	0.678
45.00	-0.026876	0.022299	2.12	-0.03	2.48	-0.25	2.12	-0.03	2.48	-0.25	2.84	0.08	3.12	-0.13	3.48	0.12	3.96	-0.05	4.68	0.11	5.40	-0.04	0.634
40.00	-0.021266	0.006740	2.24	0.06	2.52	-0.17	2.24	0.06	2.52	-0.17	2.88	0.03	3.16	-0.03	3.56	0.13	4.04	-0.09	4.60	0.10	5.20	-0.06	0.690
35.00	-0.016033	0.010388	2.36	0.00	2.64	-0.17	2.36	0.00	2.64	-0.17	3.00	0.07	3.32	-0.04	3.72	0.11	4.32	-0.05	4.52	0.06	5.36	-0.06	0.611
30.00	0.010936	0.008782	2.44	0.03	2.76	-0.12	2.44	0.03	2.76	-0.12	3.16	0.03	3.28	-0.00	3.76	0.09	4.40	-0.08	4.52	-0.04	5.60	-0.03	0.458
25.00	-0.044166	0.021960	-2.44	0.00	-2.44	0.00	-2.44	0.00	-3.12	-0.07	-3.36	-0.00	-3.60	-0.06	-4.04	0.04	-4.04	0.04	-4.52	-0.04	-5.88	-0.07	-0.018
20.00	-0.020580	0.015216	-2.40	0.00	-2.40	0.00	-2.40	0.00	-3.28	-0.01	-3.44	0.04	-3.68	-0.02	-4.24	0.06	-4.24	0.06	-4.52	0.03	-6.12	-0.07	0.209
