Threshold (dB SPL): 35
Frequency (kHz): 16.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.016792	0.016576	1.40	0.02	2.00	-0.69	2.32	0.41	2.64	-0.21	3.04	0.68	3.44	0.06	3.92	0.42	4.40	-0.34	5.08	0.11	5.80	-0.02
95.00	0.065167	0.009948	1.44	0.07	2.00	-0.69	2.32	0.32	2.64	-0.12	3.08	0.62	3.52	0.05	3.92	0.33	4.44	-0.29	5.12	0.10	5.76	-0.06	0.972
90.00	0.016066	0.009083	1.48	0.07	2.00	-0.64	2.32	0.43	2.64	-0.25	3.12	0.59	3.52	-0.08	3.92	0.40	4.56	-0.38	5.24	0.08	5.84	-0.12	0.900
85.00	0.007305	0.009198	1.48	0.12	2.00	-0.56	2.32	0.45	2.64	-0.34	3.12	0.56	3.60	-0.12	4.04	0.33	4.60	-0.30	5.32	0.13	6.08	-0.10	0.940
80.00	0.040780	0.016025	1.52	0.18	1.92	-0.58	2.36	0.45	2.72	-0.27	3.12	0.53	3.60	-0.12	4.04	0.28	4.60	-0.29	5.20	0.06	6.16	-0.11	0.961
75.00	0.029656	0.009342	1.56	0.14	1.92	-0.61	2.36	0.42	2.72	-0.29	3.16	0.38	3.56	-0.12	4.08	0.29	4.64	-0.34	5.36	0.05	5.92	-0.11	0.970
70.00	0.039461	0.009484	1.60	0.17	2.00	-0.67	2.40	0.41	2.76	-0.20	3.08	0.30	3.64	-0.18	4.16	0.27	4.72	-0.23	5.36	0.04	6.12	-0.04	0.929
65.00	0.004699	0.009473	1.68	0.14	2.04	-0.52	2.40	0.39	2.80	-0.17	3.16	0.27	3.72	-0.07	4.16	0.14	4.68	-0.25	5.52	0.04	6.04	-0.05	0.939
60.00	0.041438	0.022633	1.72	0.11	2.12	-0.51	2.44	0.30	2.84	-0.09	3.12	0.20	3.64	-0.04	4.24	0.22	4.80	-0.24	5.44	0.04	5.92	-0.03	0.903
55.00	-0.007836	0.018159	1.80	0.10	2.12	-0.41	2.48	0.20	2.84	-0.14	3.24	0.21	3.68	-0.07	4.24	0.19	4.84	-0.19	5.44	0.01	6.04	-0.05	0.900
50.00	0.013061	0.008760	1.76	0.07	2.16	-0.36	2.56	0.19	2.84	-0.02	3.32	0.14	3.84	-0.12	4.36	0.17	4.88	-0.16	5.68	0.04	6.32	-0.00	0.846
45.00	-0.017608	0.008087	1.88	0.07	2.24	-0.28	2.64	0.12	2.92	-0.05	3.24	0.10	3.76	-0.04	4.28	0.17	4.92	-0.16	5.92	0.04	6.56	-0.09	0.769
40.00	0.006570	0.018559	1.76	0.10	2.28	-0.24	2.68	0.08	2.92	0.02	3.40	0.11	3.88	-0.04	4.48	0.10	5.12	-0.14	6.00	0.07	6.56	-0.06	0.813
35.00	-0.025563	0.017322	1.80	0.04	2.36	-0.18	2.80	0.05	3.04	-0.02	3.48	0.08	4.00	-0.03	4.44	0.07	5.28	-0.06	5.96	0.03	6.40	-0.05	0.676
30.00	-0.004259	0.013113	-2.04	0.00	-2.40	-0.08	-2.76	0.04	-3.04	-0.04	-3.32	0.08	-4.36	-0.05	-4.60	0.02	-5.56	-0.13	-5.84	-0.02	-6.72	0.04	0.386
25.00	-0.018167	0.005756	-2.04	0.02	-2.04	0.02	-2.04	0.02	-2.40	-0.04	-2.76	-0.01	-3.16	-0.05	-3.56	0.04	-5.56	-0.09	-4.44	0.03	-6.72	-0.10	0.137
20.00	-0.029663	0.013559	-2.24	0.03	-2.24	0.03	-2.24	0.03	-2.64	-0.06	-2.76	-0.06	-3.20	-0.01	-3.32	0.04	-5.56	-0.02	-4.28	0.05	-6.76	-0.08	0.603
