Threshold (dB SPL): 55
Frequency (kHz): 45.30
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.023173	0.007787	1.04	0.13	1.36	-0.07	1.96	0.23	2.56	-0.12	2.92	-0.02	3.20	-0.26	3.56	0.11	4.00	-0.14	4.56	0.28	5.24	-0.11
95.00	-0.052222	0.009524	1.00	0.17	1.36	-0.03	1.96	0.32	2.56	-0.23	2.88	-0.04	3.20	-0.19	3.52	0.17	3.96	-0.15	4.60	0.18	5.20	-0.04	0.825
90.00	0.006213	0.015229	1.16	0.05	1.44	-0.06	2.08	0.23	2.60	-0.10	2.92	0.00	3.28	-0.21	3.60	0.10	3.96	-0.09	4.68	0.22	5.16	-0.06	0.830
85.00	-0.025884	0.013995	1.08	0.14	1.48	-0.02	2.12	0.23	2.68	-0.20	3.00	-0.04	3.28	-0.14	3.56	0.16	4.04	-0.07	4.72	0.22	5.20	-0.05	0.891
80.00	0.023495	0.007021	1.20	0.07	1.60	0.02	2.12	0.20	2.88	-0.13	3.04	-0.09	3.24	-0.21	3.60	0.11	3.96	-0.10	4.80	0.16	5.32	-0.11	0.745
75.00	-0.062119	0.027319	1.16	0.07	1.64	-0.04	2.16	0.20	2.72	-0.10	2.92	-0.07	3.32	-0.22	3.64	0.05	4.04	-0.06	4.76	0.16	5.32	-0.04	0.667
70.00	0.035964	0.016652	1.16	0.11	1.56	-0.01	2.24	0.19	2.72	0.03	2.80	0.04	3.28	-0.14	3.72	0.03	3.92	-0.11	4.92	0.16	5.32	0.01	0.694
65.00	-0.005755	0.004002	1.08	0.03	1.36	-0.01	2.32	0.16	2.92	-0.11	3.12	-0.14	3.32	-0.16	3.72	0.03	4.00	-0.10	4.92	0.17	5.44	-0.08	0.808
60.00	-0.104499	0.044253	1.56	0.04	1.72	-0.04	2.56	0.08	3.04	-0.05	3.12	-0.02	3.28	-0.10	3.80	0.08	4.12	-0.15	5.00	0.19	5.64	-0.05	0.545
55.00	0.012206	0.009030	1.28	0.14	1.84	-0.06	2.60	0.11	2.96	0.07	3.04	0.05	3.36	-0.18	3.84	0.05	4.20	-0.15	4.92	0.12	5.24	0.01	0.359
50.00	-0.052040	0.008833	-1.56	-0.02	-1.64	-0.04	-2.56	0.09	-2.56	0.09	-3.04	0.02	-3.44	-0.05	-3.92	0.10	-4.52	-0.08	-5.32	0.08	-5.84	-0.02	0.040
45.00	0.069142	0.021392	-2.04	0.02	-1.64	-0.03	-2.88	0.09	-2.88	0.09	-2.88	0.09	-3.68	-0.02	-3.92	-0.01	-4.40	-0.08	-5.20	0.18	-5.84	-0.03	-0.095
40.00	0.018549	0.013445	-1.88	0.04	-1.64	0.02	-3.24	0.02	-3.24	0.02	-3.24	0.02	-3.24	0.02	-3.92	-0.01	-3.92	-0.01	-5.20	-0.06	-5.84	-0.08	-0.305
35.00	-0.005748	0.007628	-2.00	0.01	-3.44	-0.01	-3.64	0.09	-3.64	0.09	-3.64	0.09	-4.00	-0.02	-4.20	0.05	-4.72	-0.15	-5.56	0.16	-5.88	0.02	-0.361
30.00	-0.041853	0.022254	-2.00	0.06	-3.32	-0.04	-3.64	-0.01	-3.64	-0.01	-3.64	-0.01	-3.92	-0.05	-4.36	0.07	-5.04	-0.07	-5.56	0.02	-5.88	0.05	0.029
