Threshold (dB SPL): 45
Frequency (kHz): 4.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.022967	0.016714	1.80	0.21	2.20	-0.50	2.68	0.27	3.00	-0.28	3.40	0.25	4.00	-0.12	4.56	0.18	5.24	-0.11	5.68	-0.05	6.68	-0.21
95.00	0.026512	0.005198	1.88	0.12	2.24	-0.38	2.68	0.20	3.04	-0.20	3.48	0.19	4.08	-0.15	4.76	0.10	5.08	-0.04	6.24	0.15	6.68	-0.15	0.908
90.00	0.025793	0.013862	1.92	0.13	2.32	-0.26	2.68	0.15	3.04	-0.15	3.56	0.19	4.08	-0.18	4.80	0.09	5.24	-0.07	6.24	0.10	6.60	-0.14	0.902
85.00	0.032909	0.015196	1.88	0.06	2.36	-0.26	2.76	0.15	3.08	-0.10	3.40	0.11	4.12	-0.09	4.72	0.10	5.48	-0.10	6.32	0.12	6.64	-0.16	0.883
80.00	0.042234	0.035862	1.92	0.11	2.36	-0.26	2.76	0.05	3.16	-0.08	3.52	0.13	4.16	-0.03	4.64	0.09	5.76	-0.11	6.32	0.07	6.68	-0.13	0.815
75.00	0.015999	0.011630	2.00	0.13	2.40	-0.21	2.84	0.05	3.16	-0.11	3.56	0.14	4.16	-0.09	4.88	0.10	5.96	-0.09	6.16	0.12	6.72	-0.18	0.835
70.00	-0.038850	0.023472	2.12	0.06	2.48	-0.16	2.80	0.06	3.20	-0.13	3.56	0.08	4.24	-0.05	4.92	0.08	5.92	-0.09	6.20	0.08	6.76	-0.18	0.735
65.00	-0.006229	0.008467	2.08	0.09	2.60	-0.16	3.00	0.04	3.32	-0.13	3.84	0.11	4.40	-0.07	5.00	0.07	5.80	-0.08	6.40	0.11	6.88	-0.12	0.636
60.00	0.011011	0.013194	2.36	0.03	2.68	-0.08	3.08	0.14	3.40	-0.08	3.80	0.07	4.84	-0.02	5.40	0.03	5.92	-0.05	6.60	0.07	7.00	-0.10	0.500
55.00	-0.016230	0.019319	2.28	0.05	2.72	-0.04	3.12	0.02	3.56	-0.08	4.40	0.08	4.80	-0.03	5.12	0.07	6.16	-0.05	6.68	0.08	7.08	-0.11	0.341
50.00	-0.005041	0.015394	2.44	0.04	3.12	-0.11	2.84	0.01	3.12	-0.11	4.92	0.05	5.16	-0.05	4.92	0.05	6.12	-0.05	6.44	0.06	7.32	-0.06	0.200
45.00	-0.010913	0.022537	2.96	0.07	3.16	-0.05	2.96	0.07	3.16	-0.05	4.84	0.01	5.12	-0.06	4.84	0.01	6.28	-0.01	6.68	0.04	7.80	-0.07	0.114
40.00	0.016332	0.007836	-2.44	0.02	-2.68	-0.05	-2.44	0.02	-2.80	-0.07	-4.80	0.04	-5.08	0.01	-4.80	0.04	-6.36	-0.03	-6.48	0.03	-8.04	0.01	-0.352
35.00	0.058196	0.023191	-2.76	0.06	-3.04	-0.13	-2.76	0.06	-3.04	-0.13	-5.00	0.03	-5.20	-0.01	-5.00	0.03	-6.92	0.04	-7.04	0.09	-8.04	-0.03	0.099
30.00	-0.004333	0.006744	-2.76	0.03	-2.96	-0.03	-2.76	0.03	-3.32	-0.03	-5.00	0.08	-5.16	0.02	-5.00	0.08	-6.84	-0.02	-6.68	0.04	-7.84	-0.15	0.072
