Threshold (dB SPL): 45
Frequency (kHz): 8.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.066465	0.010638	1.88	0.01	2.24	-0.92	2.64	0.33	2.96	-0.34	3.44	0.49	3.96	-0.02	4.32	0.27	5.12	-0.20	5.56	0.13	6.08	-0.12
95.00	0.011721	0.011956	1.68	0.07	2.28	-0.76	2.64	0.23	3.00	-0.28	3.48	0.40	3.96	-0.12	4.36	0.37	4.92	-0.20	5.68	0.09	6.12	-0.09	0.957
90.00	0.061977	0.012403	1.72	0.13	2.32	-0.51	2.64	0.10	2.92	-0.31	3.44	0.41	3.96	-0.07	4.44	0.35	5.08	-0.15	5.68	0.09	6.24	-0.13	0.937
85.00	-0.001708	0.017512	1.80	0.13	2.20	-0.58	2.64	0.13	3.00	-0.44	3.52	0.34	4.08	-0.07	4.52	0.26	5.20	-0.13	5.88	0.02	6.44	-0.12	0.904
80.00	0.061576	0.012074	1.80	0.12	2.28	-0.55	2.68	0.31	3.04	-0.30	3.56	0.26	4.04	-0.07	4.56	0.18	5.24	-0.16	6.00	-0.01	6.32	-0.09	0.858
75.00	0.014541	0.012722	1.88	0.14	2.32	-0.45	2.72	0.24	3.08	-0.24	3.48	0.25	4.08	-0.11	4.76	0.15	5.16	-0.06	6.00	0.10	6.60	-0.04	0.855
70.00	-0.024889	0.020284	1.88	0.08	2.40	-0.34	2.76	0.15	3.08	-0.14	3.52	0.13	4.16	-0.09	4.60	0.06	5.32	-0.09	6.00	0.00	6.48	-0.07	0.821
65.00	0.010841	0.012125	1.96	0.11	2.40	-0.29	2.80	0.13	3.12	-0.09	3.80	0.12	4.12	-0.11	4.64	0.12	5.24	-0.10	6.32	0.05	6.48	0.01	0.781
60.00	0.007868	0.007058	2.00	0.04	2.44	-0.26	2.80	0.04	3.16	-0.12	3.80	0.17	4.16	-0.03	4.60	0.09	5.28	-0.06	6.32	0.05	6.76	0.01	0.603
55.00	0.016356	0.008423	2.08	0.05	2.48	-0.24	2.84	0.05	3.20	-0.14	3.64	0.08	4.20	-0.07	4.60	0.12	5.28	-0.09	6.28	0.08	7.20	0.01	0.779
50.00	0.016729	0.011161	2.04	0.07	2.52	-0.15	2.92	0.08	3.20	-0.09	3.56	0.08	4.36	-0.05	4.88	0.09	5.48	-0.07	6.72	0.03	6.96	-0.06	0.641
45.00	0.020588	0.013991	2.12	0.02	2.60	-0.20	2.92	0.03	3.36	-0.09	3.80	0.10	4.44	-0.01	4.76	0.06	5.40	-0.11	6.72	0.01	6.84	0.00	0.501
40.00	0.025302	0.014485	-2.28	0.03	-2.72	-0.15	-3.12	-0.04	-3.32	-0.11	-3.80	0.06	-4.52	0.01	-4.76	0.08	-5.48	-0.04	-6.84	0.01	-7.04	-0.03	0.463
35.00	0.051231	0.010469	-2.32	0.01	-2.48	-0.04	-2.88	0.01	-3.24	-0.05	-3.96	0.04	-4.60	-0.03	-5.00	0.03	-5.88	-0.01	-6.84	-0.04	-7.36	-0.00	0.342
30.00	-0.015941	0.020998	-2.20	-0.03	-2.28	-0.05	-2.88	-0.11	-3.52	-0.00	-4.16	0.06	-4.64	-0.04	-5.24	0.04	-6.04	-0.07	-6.84	-0.08	-7.12	-0.05	0.190
25.00	-0.020642	0.011821	-2.16	-0.00	-2.96	-0.04	-3.08	-0.02	-3.48	-0.10	-4.56	0.04	-5.20	-0.09	-5.64	0.03	-6.48	-0.07	-6.80	0.05	-7.40	-0.05	0.065
20.00	-0.011411	0.008435	-2.44	0.00	-3.00	-0.09	-3.36	-0.00	-3.52	-0.04	-4.64	-0.00	-5.48	0.00	-5.84	0.08	-6.68	-0.03	-6.80	-0.03	-7.28	-0.05	0.052
