Threshold (dB SPL): 50
Frequency (kHz): 32.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.061620	0.005299	1.08	0.26	1.36	-0.14	2.04	0.59	2.40	-0.15	2.68	0.02	3.20	-0.45	3.64	0.26	3.96	-0.26	4.72	0.35	5.48	-0.13
95.00	-0.068526	0.016655	1.16	0.14	1.40	-0.06	2.00	0.42	2.40	-0.10	2.76	0.10	3.20	-0.43	3.64	0.22	4.00	-0.33	4.72	0.34	5.24	-0.08	0.869
90.00	-0.056283	0.016709	1.20	0.09	1.40	-0.09	2.00	0.38	2.40	-0.07	2.68	0.06	3.20	-0.27	3.64	0.21	4.00	-0.33	4.88	0.32	5.40	-0.05	0.925
85.00	-0.013791	0.007024	1.12	0.07	1.44	-0.14	2.04	0.31	2.44	-0.03	2.56	0.01	3.24	-0.25	3.68	0.18	4.04	-0.24	4.84	0.22	5.44	-0.00	0.828
80.00	-0.003279	0.002200	1.16	0.12	1.48	-0.13	2.00	0.33	2.44	-0.04	2.64	0.06	3.24	-0.16	3.64	0.17	4.12	-0.24	4.76	0.20	5.64	-0.04	0.750
75.00	0.004483	0.013888	1.16	0.05	1.60	-0.03	2.00	0.25	2.40	0.02	2.72	0.08	3.36	-0.21	3.76	0.13	4.16	-0.13	4.84	0.19	5.52	-0.08	0.791
70.00	-0.022255	0.012280	1.20	0.17	1.56	-0.02	2.00	0.24	2.44	0.04	2.72	0.06	3.24	-0.14	3.80	0.13	4.24	-0.16	4.76	0.16	5.60	-0.02	0.846
65.00	-0.002197	0.005193	1.08	0.06	1.56	-0.07	2.04	0.17	2.36	0.05	2.52	0.10	3.36	-0.13	3.84	0.11	4.24	-0.16	5.12	0.14	5.56	-0.04	0.770
60.00	0.016483	0.015219	1.24	0.07	1.56	-0.02	2.08	0.15	2.60	0.04	2.72	0.05	3.40	-0.14	3.92	0.05	4.28	-0.11	5.00	0.16	5.84	-0.02	0.716
55.00	-0.016700	0.008208	1.32	0.07	1.64	-0.06	2.16	0.13	2.44	-0.00	2.80	0.11	3.36	-0.08	4.04	0.04	4.32	-0.11	5.08	0.06	6.28	-0.03	0.686
50.00	0.002579	0.008716	1.44	0.05	1.72	-0.01	2.16	0.09	2.56	-0.02	2.76	0.06	3.56	-0.09	4.04	0.05	4.60	-0.08	5.08	0.09	6.24	-0.03	0.598
45.00	0.024445	0.008719	-1.20	0.06	-1.68	-0.00	-2.20	0.07	-2.64	-0.02	-3.00	0.07	-3.76	-0.05	-4.12	0.05	-4.64	0.02	-5.08	0.00	-8.24	-0.07	0.500
40.00	0.001792	0.011048	-1.44	0.06	-1.56	0.03	-2.16	0.09	-2.76	-0.00	-3.12	0.05	-3.56	-0.04	-4.08	0.13	-5.00	-0.03	-5.32	0.02	-8.28	0.00	0.068
35.00	-0.020702	0.016001	-1.48	0.03	-1.76	-0.02	-2.16	0.01	-2.60	0.01	-3.12	-0.07	-3.92	-0.04	-4.28	0.05	-5.24	-0.01	-5.44	0.04	-8.28	0.07	0.167
30.00	-0.011787	0.012942	-1.48	0.03	-1.84	-0.09	-2.60	0.04	-2.80	-0.02	-2.96	0.01	-3.56	-0.05	-4.28	0.02	-5.24	0.00	-5.40	0.03	-8.20	-0.04	-0.137
