Threshold (dB SPL): 35
Frequency (kHz): 8.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.070586	0.012975	1.76	0.36	2.08	-1.16	2.44	0.77	2.76	-0.54	3.20	0.70	3.72	-0.07	4.04	0.32	4.60	-0.26	5.12	0.04	6.12	-0.13
95.00	0.097063	0.026716	1.84	0.20	2.12	-0.89	2.52	0.44	2.84	-0.34	3.20	0.46	3.68	-0.09	4.04	0.41	4.64	-0.21	5.28	-0.01	5.92	-0.08	0.913
90.00	0.041731	0.011139	1.60	0.13	2.16	-0.60	2.48	0.20	2.72	-0.19	3.12	0.37	3.76	-0.16	4.16	0.38	4.80	-0.23	5.24	0.09	5.60	-0.11	0.885
85.00	0.028663	0.008971	1.64	0.22	2.08	-0.49	2.48	0.25	2.80	-0.36	3.20	0.39	3.80	-0.18	4.20	0.34	4.76	-0.15	5.24	-0.00	5.52	-0.09	0.869
80.00	0.060156	0.009609	1.72	0.20	2.12	-0.58	2.52	0.42	2.80	-0.40	3.28	0.35	3.80	-0.15	4.24	0.29	4.92	-0.16	5.60	0.00	6.12	-0.09	0.904
75.00	0.028271	0.004693	1.76	0.12	2.20	-0.53	2.56	0.41	2.88	-0.30	3.24	0.26	3.80	-0.20	4.36	0.23	4.88	-0.14	5.60	0.01	6.28	-0.05	0.894
70.00	-0.003351	0.019701	1.80	0.15	2.24	-0.46	2.60	0.26	2.92	-0.20	3.40	0.26	3.88	-0.17	4.40	0.15	5.04	-0.12	5.64	0.01	6.40	-0.03	0.907
65.00	-0.014476	0.015283	1.88	0.11	2.24	-0.35	2.60	0.26	2.92	-0.19	3.32	0.18	3.88	-0.11	4.36	0.16	5.24	-0.15	5.84	0.01	6.40	-0.03	0.880
60.00	0.014850	0.007558	1.96	0.10	2.28	-0.30	2.72	0.19	2.96	-0.13	3.32	0.15	3.96	-0.15	4.56	0.12	5.00	-0.09	5.76	0.05	6.20	-0.05	0.876
55.00	0.031699	0.012854	1.92	0.08	2.36	-0.23	2.68	0.15	3.00	-0.16	3.32	0.19	4.08	-0.12	4.44	0.15	5.08	-0.10	5.96	0.03	6.36	-0.09	0.844
50.00	-0.000162	0.007154	2.00	0.10	2.36	-0.26	2.76	0.18	3.04	-0.13	3.48	0.15	4.12	-0.08	4.64	0.09	5.08	-0.09	6.04	0.03	6.28	-0.04	0.739
45.00	0.005901	0.008167	2.08	0.08	2.44	-0.20	2.84	0.13	3.12	-0.12	3.44	0.12	3.92	-0.07	4.68	0.11	5.36	-0.07	6.44	0.04	6.64	-0.04	0.750
40.00	0.034389	0.011800	2.20	0.05	2.56	-0.15	2.96	0.07	3.32	-0.08	3.56	0.11	4.24	-0.04	4.72	0.08	5.44	-0.10	6.00	0.06	6.92	-0.05	0.547
35.00	-0.004907	0.010551	2.04	0.03	2.60	-0.11	2.92	0.06	3.28	-0.04	3.64	0.06	4.28	-0.02	4.84	0.04	5.52	-0.05	5.72	0.04	7.20	0.01	0.188
30.00	0.022947	0.015286	-2.48	0.00	-2.84	-0.05	-3.04	0.04	-3.76	0.01	-3.84	0.05	-4.36	-0.03	-4.88	0.06	-5.84	-0.06	-6.12	0.02	-7.48	-0.05	0.111
25.00	0.003231	0.009394	-2.60	-0.00	-2.84	-0.05	-3.16	0.05	-3.36	-0.06	-3.60	0.02	-4.56	-0.05	-5.32	0.03	-5.56	-0.02	-5.88	0.03	-7.08	-0.03	-0.100
20.00	-0.028643	0.007094	-2.60	0.04	-2.88	-0.00	-2.60	0.04	-2.96	-0.03	-3.20	0.01	-4.64	-0.05	-4.76	0.05	-6.16	-0.02	-6.24	0.02	-7.08	-0.05	-0.095
