Threshold (dB SPL): 35
Frequency (kHz): 16.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.096996	0.012093	1.04	0.44	1.56	-0.35	1.88	1.44	2.24	-1.10	2.56	0.62	2.96	-1.12	3.40	0.26	3.72	-0.59	4.36	0.51	4.96	0.02
95.00	-0.025447	0.020496	1.08	0.39	1.60	-0.20	1.92	1.23	2.28	-0.83	2.60	0.41	2.96	-0.92	3.40	0.25	3.76	-0.55	4.40	0.50	5.08	-0.00	0.978
90.00	-0.082232	0.016947	1.08	0.30	1.56	-0.11	1.92	0.99	2.32	-0.47	2.60	0.27	3.00	-0.80	3.48	0.23	3.80	-0.47	4.44	0.46	5.00	0.02	0.966
85.00	-0.073673	0.013056	1.12	0.29	1.44	-0.11	1.92	0.77	2.28	-0.45	2.60	0.31	2.96	-0.64	3.48	0.25	3.88	-0.41	4.48	0.38	4.96	0.06	0.979
80.00	-0.069393	0.013198	1.08	0.28	1.48	-0.11	1.92	0.68	2.32	-0.38	2.64	0.33	3.00	-0.55	3.48	0.24	3.92	-0.33	4.52	0.34	5.08	-0.03	0.960
75.00	-0.060543	0.014256	1.16	0.19	1.52	-0.13	1.96	0.63	2.32	-0.30	2.64	0.25	3.00	-0.49	3.48	0.17	3.88	-0.33	4.48	0.35	5.24	-0.02	0.974
70.00	-0.009405	0.006553	1.16	0.21	1.56	-0.15	1.96	0.57	2.36	-0.32	2.68	0.17	3.04	-0.41	3.56	0.16	4.00	-0.32	4.56	0.30	5.28	-0.03	0.955
65.00	0.014998	0.018668	1.20	0.15	1.60	-0.13	2.00	0.49	2.36	-0.27	2.68	0.19	3.08	-0.33	3.60	0.16	3.96	-0.23	4.64	0.28	5.80	-0.04	0.932
60.00	-0.040631	0.011713	1.24	0.17	1.60	-0.13	2.00	0.45	2.40	-0.24	2.76	0.10	3.20	-0.25	3.52	0.05	4.00	-0.21	4.56	0.27	5.84	0.01	0.919
55.00	-0.021610	0.004329	1.24	0.13	1.68	-0.13	2.08	0.40	2.44	-0.15	2.76	0.10	3.20	-0.22	3.64	0.05	4.04	-0.23	4.80	0.22	5.68	-0.02	0.913
50.00	-0.026734	0.006877	1.32	0.08	1.68	-0.10	2.12	0.30	2.44	-0.10	2.76	0.11	3.16	-0.13	3.76	0.09	4.12	-0.14	4.68	0.18	5.56	0.03	0.866
45.00	-0.005049	0.007305	1.32	0.09	1.64	-0.03	2.16	0.30	2.52	-0.04	2.84	0.06	3.28	-0.08	3.76	0.01	4.20	-0.15	4.76	0.16	5.68	-0.01	0.858
40.00	0.010228	0.015435	1.32	0.02	1.76	-0.06	2.24	0.15	2.52	-0.03	3.00	-0.01	3.28	-0.12	3.80	0.08	4.16	-0.13	4.84	0.12	5.76	0.01	0.690
35.00	-0.023090	0.012551	1.36	0.06	1.80	-0.01	2.32	0.16	2.56	-0.02	2.88	0.05	3.32	-0.06	3.88	0.06	4.16	-0.07	5.20	0.12	5.60	-0.02	0.669
30.00	0.057549	0.012601	-1.04	0.08	-1.88	-0.02	-2.36	0.07	-2.72	0.01	-2.92	0.04	-3.48	-0.06	-3.76	0.01	-4.24	-0.07	-5.52	0.05	-6.92	-0.04	-0.000
25.00	-0.068636	0.020741	-1.00	0.00	-1.80	-0.01	-2.52	0.04	-2.52	0.04	-2.92	0.03	-3.68	-0.03	-3.80	0.01	-4.08	-0.06	-5.52	0.04	-6.92	-0.03	-0.136
20.00	-0.060048	0.041814	-0.84	0.01	-2.24	-0.03	-2.52	0.04	-2.68	-0.03	-3.08	0.07	-3.36	-0.01	-3.80	-0.03	-4.08	0.03	-5.36	0.06	-7.20	0.01	0.301
