Threshold (dB SPL): 50
Frequency (kHz): 4.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.031059	0.006915	1.32	0.16	1.68	-0.12	2.12	0.50	2.52	-0.11	2.80	0.27	3.52	-0.27	3.96	0.00	4.36	-0.33	5.16	0.17	5.76	0.02
95.00	-0.034195	0.006423	1.40	0.14	1.76	-0.16	2.16	0.58	2.56	-0.21	2.88	0.31	3.28	-0.14	3.96	0.01	4.40	-0.31	5.24	0.14	6.08	0.00	0.860
90.00	-0.044295	0.010555	1.40	0.10	1.76	-0.09	2.24	0.41	2.60	-0.17	2.96	0.23	3.28	-0.20	4.00	0.06	4.48	-0.20	5.60	0.09	6.12	-0.05	0.811
85.00	-0.025924	0.009827	1.40	0.11	1.76	-0.09	2.28	0.33	2.68	-0.13	3.00	0.21	3.40	-0.13	3.96	0.06	4.52	-0.10	5.40	0.10	6.12	-0.02	0.875
80.00	0.036285	0.013514	1.52	0.04	1.84	-0.12	2.32	0.28	2.68	-0.14	3.00	0.13	3.40	-0.18	4.08	0.09	4.64	-0.11	5.64	0.10	6.12	-0.00	0.838
75.00	-0.040230	0.009913	1.40	0.06	1.84	-0.05	2.36	0.21	2.72	-0.08	3.04	0.13	3.52	-0.14	4.12	0.09	4.60	-0.11	5.76	0.09	6.12	-0.01	0.799
70.00	-0.061004	0.009632	1.56	0.04	2.00	-0.08	2.40	0.17	2.80	-0.09	3.08	0.15	3.56	-0.16	4.12	0.09	4.72	-0.06	5.72	0.14	6.16	-0.00	0.818
65.00	-0.024428	0.019259	1.52	0.05	2.08	-0.05	2.48	0.16	2.88	-0.08	3.16	0.09	3.64	-0.11	4.28	0.07	4.80	-0.05	5.68	0.10	6.40	-0.02	0.780
60.00	-0.029275	0.004171	1.56	0.02	2.08	-0.05	2.56	0.18	2.96	-0.07	3.32	0.08	3.60	-0.09	4.40	0.10	4.80	-0.04	5.52	0.08	6.36	-0.02	0.819
55.00	-0.032699	0.015084	1.76	0.01	2.12	-0.08	2.60	0.09	2.92	0.00	3.36	0.09	3.76	-0.06	4.72	0.07	5.12	-0.01	5.84	0.08	6.16	0.01	0.520
50.00	-0.048510	0.014368	1.84	0.02	2.40	-0.02	2.84	0.07	3.08	-0.03	3.56	0.07	3.88	-0.00	4.60	0.06	5.20	-0.00	6.12	0.07	6.84	-0.03	0.289
45.00	-0.042043	0.013093	-2.16	0.02	-2.60	-0.03	-2.84	-0.00	-3.00	-0.02	-3.88	0.05	-4.04	0.00	-4.68	0.05	-5.48	0.03	-5.88	0.06	-8.12	-0.04	0.392
40.00	-0.019300	0.006461	-2.56	0.06	-3.00	0.01	-3.16	0.05	-3.64	0.01	-3.72	0.02	-4.00	-0.02	-4.68	0.01	-5.60	0.04	-6.16	0.07	-8.36	-0.09	0.476
35.00	-0.032782	0.007603	-2.52	0.04	-2.72	-0.02	-3.12	0.07	-3.12	0.07	-3.72	0.04	-3.84	0.01	-4.64	0.09	-5.40	0.07	-6.04	0.07	-8.40	0.04	0.225
30.00	-0.031004	0.015765	-2.88	0.04	-2.88	0.04	-2.88	0.04	-3.24	0.01	-3.96	0.08	-4.20	0.01	-5.08	0.10	-5.44	0.05	-6.04	0.07	-8.44	0.05	0.795
