Threshold (dB SPL): 55
Frequency (kHz): 45.30
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([0.97428323+0.j, 0.17581378+0.j]), k: np.float64(0.4143537916487982)
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	-0.015842	0.016713	0.96	0.18	1.48	-0.03	1.92	0.43	2.36	-0.36	2.68	-0.18	2.84	-0.23	3.16	0.08	3.60	-0.10	4.28	0.25	4.80	-0.04
95.00	-0.014251	0.007754	0.96	0.25	1.44	-0.03	2.04	0.42	2.40	-0.22	2.64	-0.18	2.84	-0.28	3.24	0.00	3.60	-0.17	4.16	0.32	4.84	-0.05	0.812
90.00	-0.125351	0.044192	0.96	0.10	1.48	0.05	1.92	0.31	2.36	-0.27	2.60	-0.11	2.84	-0.19	3.24	0.12	3.64	-0.11	4.28	0.32	4.92	-0.02	0.697
85.00	0.037215	0.022881	1.00	0.15	1.60	-0.00	2.08	0.21	2.44	-0.12	2.56	-0.10	2.84	-0.30	3.24	-0.01	3.52	-0.23	4.24	0.32	4.72	0.03	0.752
80.00	-0.012608	0.008912	0.92	0.16	1.48	-0.01	1.88	0.36	2.44	-0.13	2.64	-0.10	2.88	-0.19	3.24	0.02	3.60	-0.26	4.44	0.21	4.76	0.01	0.795
75.00	-0.033826	0.027377	1.04	0.10	1.64	0.00	2.04	0.21	2.48	-0.19	2.60	-0.15	2.92	-0.22	3.32	0.17	3.72	-0.10	4.28	0.22	4.76	-0.03	0.731
70.00	-0.078964	0.022498	1.00	0.13	1.64	0.03	1.96	0.22	2.52	-0.13	2.80	-0.11	2.80	-0.11	3.32	0.06	3.72	-0.25	4.44	0.21	4.92	-0.03	0.653
65.00	-0.044621	0.011926	1.12	0.09	1.56	-0.08	2.12	0.17	2.60	-0.08	2.76	-0.02	3.04	-0.11	3.32	0.05	3.64	-0.15	4.44	0.16	4.92	-0.01	0.555
60.00	-0.082508	0.017428	1.08	0.14	1.56	0.06	2.20	0.18	2.56	-0.04	2.88	0.00	3.16	-0.06	3.40	0.07	3.76	-0.19	4.48	0.15	5.16	-0.02	0.675
55.00	0.002218	0.014094	1.20	0.09	1.60	-0.02	1.92	0.16	2.72	-0.06	2.84	-0.01	3.08	-0.10	3.48	0.02	3.84	-0.16	4.68	0.08	5.00	-0.01	0.781
50.00	0.003842	0.020141	-1.20	0.03	-1.52	-0.04	-3.56	0.04	-3.92	-0.12	-4.80	0.10	-3.08	0.00	-6.60	-0.01	-6.60	-0.01	-6.60	-0.01	-6.72	-0.04	0.512
45.00	0.025405	0.033882	-2.04	0.15	-1.52	0.06	-3.56	0.02	-4.00	-0.08	-4.76	0.01	-3.08	0.06	-6.76	0.08	-6.76	0.08	-6.76	0.08	-6.96	0.03	0.372
40.00	0.010813	0.013904	-2.24	0.10	-2.56	0.01	-3.60	0.12	-3.84	0.05	-5.08	0.08	-3.08	0.03	-6.60	-0.01	-6.60	-0.01	-6.60	-0.01	-7.04	-0.08	0.182
35.00	-0.035582	0.016402	-2.32	0.06	-2.64	-0.01	-3.44	0.02	-3.96	-0.08	-5.04	0.05	-3.08	-0.05	-6.56	0.05	-6.56	0.05	-6.56	0.05	-6.92	-0.02	0.131
30.00	0.023976	0.010189	-2.24	0.02	-2.52	-0.02	-3.44	-0.02	-4.00	-0.01	-5.12	0.06	-3.08	-0.00	-6.84	0.06	-6.84	0.06	-6.84	0.06	-7.12	-0.04	-0.336
