Threshold (dB SPL): 50
Frequency (kHz): 8.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.046613	0.011109	1.72	0.22	2.04	-0.50	2.24	-0.05	2.44	-0.26	2.72	0.31	3.04	-0.16	3.44	0.28	4.04	-0.02	4.56	0.24	5.00	-0.23
95.00	0.062530	0.024125	1.76	0.24	2.12	-0.58	2.68	0.41	2.96	-0.09	2.68	0.41	3.08	-0.20	3.52	0.26	4.08	-0.04	4.56	0.22	5.12	-0.21	0.784
90.00	0.018995	0.015715	1.84	0.27	2.20	-0.68	2.76	0.51	3.04	-0.21	2.76	0.51	3.08	-0.24	3.52	0.18	4.24	-0.03	4.56	0.24	5.12	-0.19	0.850
85.00	0.048109	0.006875	1.88	0.25	2.32	-0.69	2.76	0.50	3.04	-0.13	2.76	0.50	3.12	-0.25	3.56	0.17	4.36	-0.15	4.80	0.25	5.44	-0.17	0.841
80.00	0.041835	0.014206	1.92	0.16	2.40	-0.56	2.84	0.47	3.12	-0.07	2.84	0.47	3.20	-0.13	3.56	0.20	4.40	-0.07	4.96	0.14	5.52	-0.15	0.852
75.00	0.014469	0.020373	2.00	0.13	2.40	-0.41	2.88	0.32	3.16	0.00	2.88	0.32	3.24	-0.02	3.56	0.19	4.08	-0.14	4.80	0.15	5.60	-0.12	0.897
70.00	0.026249	0.014011	2.04	0.15	2.48	-0.32	2.84	0.24	3.12	-0.05	2.84	0.24	3.20	-0.08	3.60	0.15	4.28	-0.13	5.00	0.12	5.32	-0.05	0.827
65.00	-0.007952	0.007579	2.00	0.16	2.48	-0.35	2.88	0.17	3.16	-0.12	2.88	0.17	3.28	-0.17	3.68	0.21	4.52	-0.07	4.92	0.08	5.60	-0.12	0.796
60.00	0.006211	0.017273	2.08	0.03	2.52	-0.29	2.96	0.17	3.24	-0.08	2.96	0.17	3.28	-0.09	3.60	0.11	4.52	-0.09	5.12	0.10	5.68	-0.09	0.792
55.00	0.022544	0.008653	2.20	0.05	2.56	-0.20	2.96	0.14	3.24	-0.06	2.96	0.14	3.32	-0.14	3.84	0.18	4.28	-0.09	5.16	0.10	5.88	-0.11	0.729
50.00	-0.026253	0.030136	2.12	0.04	2.60	-0.22	3.08	0.13	3.36	-0.04	3.08	0.13	3.44	-0.06	3.80	0.12	4.40	-0.09	5.28	0.08	5.68	-0.05	0.624
45.00	-0.040014	0.022889	-2.24	0.07	-2.72	-0.16	-3.12	0.08	-3.40	-0.08	-3.12	0.08	-3.44	-0.08	-3.80	0.17	-4.56	-0.11	-5.32	0.07	-5.96	-0.05	0.696
40.00	0.065497	0.014725	-2.48	-0.02	-2.80	-0.10	-3.04	0.07	-3.32	-0.03	-3.04	0.07	-3.52	-0.06	-3.96	0.10	-4.48	-0.08	-5.24	0.07	-5.96	-0.03	0.421
35.00	0.017569	0.011810	-2.00	0.08	-2.84	-0.11	-3.24	0.05	-3.48	0.00	-3.24	0.05	-3.72	-0.02	-4.00	0.08	-4.44	-0.09	-4.64	-0.01	-5.96	0.02	0.363
30.00	0.008878	0.015155	-2.28	0.02	-3.00	-0.09	-3.32	0.05	-3.60	-0.04	-3.32	0.05	-3.76	-0.05	-4.32	0.10	-4.60	0.03	-4.32	0.10	-6.08	-0.05	-0.077
