Threshold (dB SPL): 75
Frequency (kHz): 45.30
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.047492	0.007871	1.52	0.17	1.96	-0.13	2.44	0.02	3.04	-0.01	3.52	0.10	3.84	-0.04	4.32	0.08	5.12	-0.15	6.00	0.09	6.68	-0.09
95.00	-0.035330	0.013579	1.44	0.06	1.92	-0.15	2.80	0.17	3.04	0.01	3.12	0.05	3.92	-0.00	4.24	0.09	5.24	-0.09	5.76	0.04	6.32	-0.06	0.236
90.00	0.068690	0.043992	1.60	0.07	1.96	-0.15	2.84	0.04	3.20	-0.01	3.40	0.10	3.80	-0.00	4.32	0.09	5.08	-0.12	5.80	0.10	6.48	-0.10	0.397
85.00	0.038985	0.020495	1.64	0.06	2.04	-0.13	2.88	0.04	3.24	0.02	3.44	0.08	3.96	-0.08	4.48	0.09	5.28	-0.12	5.92	0.04	6.96	0.03	0.267
80.00	0.046809	0.012359	1.52	0.07	2.00	-0.12	3.20	0.09	3.56	0.07	3.64	0.10	4.00	-0.08	4.40	0.11	5.00	-0.11	6.28	0.01	6.92	-0.05	0.471
75.00	-0.006090	0.013446	1.68	0.12	2.16	-0.16	2.96	0.09	3.28	0.04	3.48	0.08	4.00	-0.07	4.44	0.12	5.16	-0.08	5.76	0.04	6.76	-0.07	0.505
70.00	0.022565	0.016927	-1.20	0.11	-2.08	-0.11	-2.48	0.08	-3.24	-0.05	-3.52	0.07	-4.08	-0.09	-4.68	0.12	-5.56	-0.11	-5.76	-0.05	-6.88	0.01	0.274
65.00	-0.004166	0.014876	-0.80	0.04	-2.40	-0.07	-2.64	0.02	-2.84	-0.06	-3.68	0.06	-4.32	-0.09	-4.80	0.05	-5.52	-0.07	-6.16	0.08	-7.12	-0.14	-0.222
60.00	-0.058384	0.034692	-0.80	-0.06	-2.16	-0.12	-2.96	0.07	-3.36	0.07	-3.20	0.08	-4.12	-0.06	-4.80	0.01	-5.12	-0.07	-5.68	0.09	-6.88	-0.03	0.052
55.00	0.007375	0.009636	-1.12	0.04	-1.76	-0.05	-3.12	0.03	-3.32	-0.05	-3.12	0.03	-3.80	-0.02	-5.28	0.08	-5.48	-0.02	-5.28	0.08	-6.36	-0.05	0.206
50.00	0.022290	0.017063	-1.72	0.09	-2.04	-0.10	-3.68	0.06	-3.84	0.01	-3.68	0.06	-4.36	-0.05	-5.40	0.03	-5.68	0.00	-5.40	0.03	-6.40	-0.02	0.188
45.00	0.007092	0.018872	-1.96	0.03	-2.48	-0.01	-3.28	0.01	-3.56	-0.06	-3.28	0.01	-4.24	0.03	-5.20	-0.02	-5.44	-0.06	-5.20	-0.02	-6.28	0.01	0.061
40.00	-0.034545	0.016802	-2.08	0.08	-2.68	-0.03	-2.76	0.01	-3.04	-0.07	-2.76	0.01	-4.72	-0.06	-5.44	0.09	-5.68	0.06	-5.44	0.09	-6.52	-0.08	0.274
35.00	-0.066140	0.024351	-2.36	-0.03	-2.92	0.01	-3.08	0.05	-3.36	-0.06	-3.08	0.05	-5.08	-0.06	-5.72	0.02	-5.96	-0.03	-5.72	0.02	-6.44	-0.01	0.285
30.00	0.010506	0.006805	-2.80	0.01	-3.44	0.03	-3.36	0.05	-3.64	-0.02	-3.36	0.05	-5.64	-0.05	-5.80	0.01	-5.96	-0.06	-5.80	0.01	-6.88	-0.02	0.194
