Threshold (dB SPL): 65
Frequency (kHz): 4.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
80.00	-0.030081	0.008138	0.00	-0.01	0.00	-0.01	0.00	-0.01	0.00	-0.01	0.00	-0.01	0.00	-0.01	0.00	-0.01	0.00	-0.01	0.00	-0.01	0.00	-0.01
75.00	-0.023094	0.018153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.710
70.00	0.013088	0.006704	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.557
65.00	-0.022539	0.016067	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.375
60.00	-0.015118	0.027933	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.062
55.00	-0.029869	0.023406	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.209
50.00	0.034745	0.011800	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.252
45.00	0.008007	0.009570	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.054
40.00	0.016728	0.012471	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.00	0.03	-0.027
35.00	0.004212	0.018914	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	-0.00	0.01	0.448
30.00	0.008878	0.012547	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.058
25.00	0.010437	0.019912	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	-0.00	0.00	0.099
20.00	0.030017	0.008162	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.00	0.02	-0.092
