Threshold (dB SPL): 55
Frequency (kHz): 16.00
Threshold estimation: manual
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.95015586+0.j, -0.5033507 +0.j]), k: 0.7391308082355769
NOTE: Negative latencies indicate no peak
Level	0.3msec Avg	0.3msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	CorrCoef	
100.00	0.047654	0.015471	1.56	0.24	1.92	-0.37	2.08	-0.14	2.24	-0.34	2.56	0.38	3.00	-0.25	3.44	0.37	3.88	-0.15	4.36	0.31	4.96	-0.28
95.00	0.104649	0.031452	1.64	0.28	1.96	-0.35	2.52	0.40	2.80	-0.13	2.52	0.40	2.96	-0.28	3.36	0.38	4.04	-0.12	4.44	0.18	5.20	-0.15	0.857
90.00	0.035745	0.011702	1.64	0.31	2.08	-0.61	2.56	0.56	2.84	-0.10	2.56	0.56	3.00	-0.27	3.40	0.30	3.92	-0.09	4.44	0.20	5.08	-0.21	0.920
85.00	0.026798	0.010734	1.72	0.26	2.16	-0.62	2.56	0.47	2.84	-0.13	2.56	0.47	3.00	-0.27	3.40	0.31	4.12	-0.12	4.48	0.19	5.04	-0.21	0.937
80.00	0.051722	0.010203	1.76	0.19	2.20	-0.63	2.60	0.57	2.88	-0.08	2.60	0.57	3.04	-0.23	3.40	0.22	4.04	-0.09	4.56	0.22	5.08	-0.25	0.865
75.00	0.011941	0.012270	1.76	0.20	2.24	-0.53	2.64	0.45	2.92	0.01	2.64	0.45	3.08	-0.13	3.48	0.17	4.12	-0.10	4.48	0.15	5.20	-0.24	0.897
70.00	-0.064207	0.030246	1.76	0.13	2.28	-0.44	2.68	0.34	2.96	0.00	2.68	0.34	3.08	-0.01	3.52	0.08	3.96	-0.14	4.60	0.19	5.40	-0.15	0.882
65.00	0.019989	0.021856	1.76	0.17	2.28	-0.32	2.76	0.20	3.04	-0.04	2.76	0.20	3.04	-0.04	3.52	0.10	3.84	-0.04	4.76	0.13	5.36	-0.16	0.769
60.00	0.030972	0.006499	1.88	0.16	2.36	-0.23	2.76	0.13	3.04	-0.04	2.76	0.13	3.08	-0.06	3.44	0.08	4.24	-0.10	4.76	0.15	5.60	-0.18	0.810
55.00	-0.078632	0.044822	1.84	0.08	2.40	-0.30	2.80	0.12	3.08	0.04	2.80	0.12	3.20	-0.01	3.56	0.12	4.20	-0.10	4.88	0.16	5.60	-0.14	0.726
50.00	0.011279	0.012910	-2.00	0.10	-2.44	-0.19	-2.80	0.12	-3.08	0.03	-2.80	0.12	-3.28	-0.06	-3.36	-0.01	-3.88	-0.10	-4.64	0.17	-5.40	-0.13	0.670
45.00	-0.054703	0.026645	-1.96	0.04	-2.44	-0.13	-2.96	0.06	-3.24	0.02	-2.96	0.06	-3.24	0.02	-2.96	0.06	-3.56	-0.03	-4.88	0.06	-5.60	-0.02	0.305
40.00	0.040881	0.017344	-2.28	0.04	-2.72	-0.07	-3.04	0.02	-3.28	-0.08	-3.04	0.02	-3.28	-0.08	-3.04	0.02	-3.92	-0.01	-4.56	0.06	-5.68	-0.12	-0.328
35.00	0.023763	0.019716	-2.88	0.07	-3.04	0.04	-2.88	0.07	-3.04	0.04	-2.88	0.07	-3.04	0.04	-2.88	0.07	-3.68	-0.08	-4.72	0.08	-6.24	-0.04	0.045
30.00	-0.031379	0.017000	-3.12	0.06	-3.40	-0.05	-3.12	0.06	-3.40	-0.05	-3.12	0.06	-3.40	-0.05	-3.12	0.06	-3.52	-0.05	-4.44	0.06	-6.20	-0.06	0.161
